+-----------------------------------------------------------------------------------------------------------------------+
| key                                           | types                        | occurrences | percents                 |
| razed.railway                                 | String                       |           5 |   0.00032245644741992922 |
| seamark.radio_station                         | Object                       |           5 |   0.00032245644741992922 |
| seamark.radio_station.category                | String                       |           5 |   0.00032245644741992922 |
| shower                                        | String (4),Object (1)        |           5 |   0.00032245644741992922 |
| tidal                                         | String                       |           5 |   0.00032245644741992922 |
| tower.construction                            | String                       |           5 |   0.00032245644741992922 |
| IPP.CARACTERIS                                | String                       |           4 |   0.00025796515793594338 |
| artwork_subject                               | String                       |           4 |   0.00025796515793594338 |
| emergency_service                             | String                       |           4 |   0.00025796515793594338 |
| faces                                         | String                       |           4 |   0.00025796515793594338 |
| fax                                           | String                       |           4 |   0.00025796515793594338 |
| flag                                          | Object (1),String (3)        |           4 |   0.00025796515793594338 |
| fonte                                         | String                       |           4 |   0.00025796515793594338 |
| fuel.octane_95                                | String                       |           4 |   0.00025796515793594338 |
| golf                                          | String                       |           4 |   0.00025796515793594338 |
| heritage                                      | Object                       |           4 |   0.00025796515793594338 |
| heritage.heritage                             | String                       |           4 |   0.00025796515793594338 |
| heritage.operator                             | String                       |           4 |   0.00025796515793594338 |
| highway_1                                     | String                       |           4 |   0.00025796515793594338 |
| lamp_type                                     | String                       |           4 |   0.00025796515793594338 |
| lift_gate                                     | Object                       |           4 |   0.00025796515793594338 |
| lift_gate.type                                | String                       |           4 |   0.00025796515793594338 |
| male                                          | String                       |           4 |   0.00025796515793594338 |
| maxspeed.hgv                                  | String                       |           4 |   0.00025796515793594338 |
| maxspeed.maxspeed                             | String                       |           4 |   0.00025796515793594338 |
| maxwidth                                      | String                       |           4 |   0.00025796515793594338 |
| name.ja                                       | String                       |           4 |   0.00025796515793594338 |
| name.lt                                       | String                       |           4 |   0.00025796515793594338 |
| official_name                                 | String                       |           4 |   0.00025796515793594338 |
| operator.publisher                            | String                       |           4 |   0.00025796515793594338 |
| operator.type                                 | String                       |           4 |   0.00025796515793594338 |
| outdoor_seating                               | String                       |           4 |   0.00025796515793594338 |
| phone.3                                       | String                       |           4 |   0.00025796515793594338 |
| platforms                                     | String                       |           4 |   0.00025796515793594338 |
| seamark.harbour                               | Object                       |           4 |   0.00025796515793594338 |
| seamark.harbour.category                      | String                       |           4 |   0.00025796515793594338 |
| seamark.restricted_area                       | Object                       |           4 |   0.00025796515793594338 |
| seamark.restricted_area.category              | String                       |           4 |   0.00025796515793594338 |
| source_ref                                    | Object                       |           4 |   0.00025796515793594338 |
| source_ref.image                              | Object                       |           4 |   0.00025796515793594338 |
| source_ref.research                           | Object                       |           4 |   0.00025796515793594338 |
| taxon                                         | Object                       |           4 |   0.00025796515793594338 |
| taxon.pt_br                                   | Object                       |           4 |   0.00025796515793594338 |
| unisex                                        | String                       |           4 |   0.00025796515793594338 |
| vehicle                                       | String                       |           4 |   0.00025796515793594338 |
| aerialway.access                              | String                       |           3 |   0.00019347386845195753 |
| aerialway.aerialway                           | String                       |           3 |   0.00019347386845195753 |
| board_type                                    | String                       |           3 |   0.00019347386845195753 |
| button_operated                               | String                       |           3 |   0.00019347386845195753 |
| clock                                         | String                       |           3 |   0.00019347386845195753 |
| contact.email                                 | String                       |           3 |   0.00019347386845195753 |
| depth.clearance                               | String                       |           3 |   0.00019347386845195753 |
| fire_hydrant.position                         | String                       |           3 |   0.00019347386845195753 |
| fuel.octane_91                                | String                       |           3 |   0.00019347386845195753 |
| memorial                                      | String                       |           3 |   0.00019347386845195753 |
| name.bg                                       | String                       |           3 |   0.00019347386845195753 |
| name.eo                                       | String                       |           3 |   0.00019347386845195753 |
| name.ka                                       | String                       |           3 |   0.00019347386845195753 |
| name.kk                                       | String                       |           3 |   0.00019347386845195753 |
| name.ko                                       | String                       |           3 |   0.00019347386845195753 |
| name.lv                                       | String                       |           3 |   0.00019347386845195753 |
| name.nl                                       | String                       |           3 |   0.00019347386845195753 |
| name.pl                                       | String                       |           3 |   0.00019347386845195753 |
| name.sr                                       | String                       |           3 |   0.00019347386845195753 |
| name.zh                                       | String                       |           3 |   0.00019347386845195753 |
| old_ref                                       | String                       |           3 |   0.00019347386845195753 |
| proposed                                      | String                       |           3 |   0.00019347386845195753 |
| recycling_type                                | String                       |           3 |   0.00019347386845195753 |
| seamark.beacon_cardinal                       | Object                       |           3 |   0.00019347386845195753 |
| seamark.beacon_cardinal.category              | String                       |           3 |   0.00019347386845195753 |
| seamark.beacon_cardinal.colour                | String                       |           3 |   0.00019347386845195753 |
| seamark.beacon_cardinal.colour_pattern        | String                       |           3 |   0.00019347386845195753 |
| seamark.building                              | Object                       |           3 |   0.00019347386845195753 |
| seamark.building.function                     | String                       |           3 |   0.00019347386845195753 |
| seamark.radio_station.callsign                | String                       |           3 |   0.00019347386845195753 |
| seamark.signal_station_warning                | Object                       |           3 |   0.00019347386845195753 |
| seamark.signal_station_warning.category       | String                       |           3 |   0.00019347386845195753 |
| service.bicycle                               | Object                       |           3 |   0.00019347386845195753 |
| service.bicycle.repair                        | String                       |           3 |   0.00019347386845195753 |
| service.bicycle.retail                        | String                       |           3 |   0.00019347386845195753 |
| social_facility                               | String (2),Object (1)        |           3 |   0.00019347386845195753 |
| species.species                               | String                       |           3 |   0.00019347386845195753 |
| surveillance                                  | Object (2),String (1)        |           3 |   0.00019347386845195753 |
| tram                                          | String                       |           3 |   0.00019347386845195753 |
| vending                                       | String                       |           3 |   0.00019347386845195753 |
| OSM                                           | Object                       |           2 |   0.00012898257896797169 |
| OSM.DwC                                       | String                       |           2 |   0.00012898257896797169 |
| address.full                                  | String                       |           2 |   0.00012898257896797169 |
| cargo                                         | String                       |           2 |   0.00012898257896797169 |
| clothes                                       | String                       |           2 |   0.00012898257896797169 |
| construction                                  | String                       |           2 |   0.00012898257896797169 |
| contact.emergency_phone                       | String                       |           2 |   0.00012898257896797169 |
| date.date                                     | String                       |           2 |   0.00012898257896797169 |
| date.eventDate                                | String                       |           2 |   0.00012898257896797169 |
| date.gbif_equivalent_tag                      | String                       |           2 |   0.00012898257896797169 |
| description.gbif_equivalent_tag               | String                       |           2 |   0.00012898257896797169 |
| facebook                                      | String                       |           2 |   0.00012898257896797169 |
| fuel.biodiesel                                | String                       |           2 |   0.00012898257896797169 |
| fuel.octane_100                               | String                       |           2 |   0.00012898257896797169 |
| fuel.octane_98                                | String                       |           2 |   0.00012898257896797169 |
| genus                                         | String                       |           2 |   0.00012898257896797169 |
| goods                                         | String                       |           2 |   0.00012898257896797169 |
| groundcheck                                   | String                       |           2 |   0.00012898257896797169 |
| health_facility                               | Object                       |           2 |   0.00012898257896797169 |
| health_facility.type                          | String                       |           2 |   0.00012898257896797169 |
| healthcare                                    | String                       |           2 |   0.00012898257896797169 |
| hgv                                           | String                       |           2 |   0.00012898257896797169 |
| historical_name                               | String                       |           2 |   0.00012898257896797169 |
| iata                                          | String                       |           2 |   0.00012898257896797169 |
| id.fetranspor                                 | String                       |           2 |   0.00012898257896797169 |
| id_clearchannel                               | String                       |           2 |   0.00012898257896797169 |
| inscription                                   | String                       |           2 |   0.00012898257896797169 |
| language                                      | Object (1),String (1)        |           2 |   0.00012898257896797169 |
