+----------------------------------------------------------------------------------------------------------------------------+
| key                                                 | types                        | occurrences | percents                |
| wetland                                             | String                       |           6 |   0.0032192122587602814 |
| IPP.ORGAO2                                          | String                       |           5 |   0.0026826768823002343 |
| artwork_type                                        | String                       |           5 |   0.0026826768823002343 |
| castle_type                                         | String                       |           5 |   0.0026826768823002343 |
| conveying                                           | String                       |           5 |   0.0026826768823002343 |
| depth                                               | Object                       |           5 |   0.0026826768823002343 |
| depth.dredged                                       | Object                       |           5 |   0.0026826768823002343 |
| depth.dredged.dredged                               | String                       |           5 |   0.0026826768823002343 |
| depth.dredged.year                                  | String                       |           5 |   0.0026826768823002343 |
| fax                                                 | String                       |           5 |   0.0026826768823002343 |
| harbour                                             | String                       |           5 |   0.0026826768823002343 |
| heritage                                            | Object                       |           5 |   0.0026826768823002343 |
| heritage.heritage                                   | String                       |           5 |   0.0026826768823002343 |
| heritage.operator                                   | String                       |           5 |   0.0026826768823002343 |
| lanes.bus                                           | String (3),Object (2)        |           5 |   0.0026826768823002343 |
| left                                                | Object                       |           5 |   0.0026826768823002343 |
| left.8                                              | String                       |           5 |   0.0026826768823002343 |
| managed                                             | String                       |           5 |   0.0026826768823002343 |
| motorroad                                           | String                       |           5 |   0.0026826768823002343 |
| navigationaid                                       | String                       |           5 |   0.0026826768823002343 |
| park_ride                                           | String                       |           5 |   0.0026826768823002343 |
| parking.lane.left.conditional                       | String                       |           5 |   0.0026826768823002343 |
| parking.lane.right.right                            | String                       |           5 |   0.0026826768823002343 |
| ref.CNUC                                            | String                       |           5 |   0.0026826768823002343 |
| roof.shape                                          | String                       |           5 |   0.0026826768823002343 |
| toilets.wheelchair                                  | String                       |           5 |   0.0026826768823002343 |
| turn.lanes.backward                                 | String                       |           5 |   0.0026826768823002343 |
| asphalt                                             | String                       |           4 |   0.0021461415058401877 |
| contact.website                                     | String                       |           4 |   0.0021461415058401877 |
| generator                                           | Object                       |           4 |   0.0021461415058401877 |
| generator.source                                    | String                       |           4 |   0.0021461415058401877 |
| internet_access                                     | String (2),Object (2)        |           4 |   0.0021461415058401877 |
| maxheight.marine                                    | String                       |           4 |   0.0021461415058401877 |
| mown                                                | String                       |           4 |   0.0021461415058401877 |
| mtb.scale.scale                                     | String                       |           4 |   0.0021461415058401877 |
| mtb.scale.uphill                                    | String                       |           4 |   0.0021461415058401877 |
| name.fr                                             | String                       |           4 |   0.0021461415058401877 |
| opening_date                                        | String                       |           4 |   0.0021461415058401877 |
| parking.condition.both.both                         | String                       |           4 |   0.0021461415058401877 |
| parking.condition.left.time_interval                | String                       |           4 |   0.0021461415058401877 |
| rack                                                | String                       |           4 |   0.0021461415058401877 |
| seamark.landmark                                    | Object                       |           4 |   0.0021461415058401877 |
| street                                              | String                       |           4 |   0.0021461415058401877 |
| tool                                                | String                       |           4 |   0.0021461415058401877 |
